word,meaning,short definition,long definition,url
abash,cause to be embarrassed,"Although abash sounds like a big party or what firefighters do to get through a locked door, abash is, in fact, a verb that means you have caused another person to feel awkward, bashful, embarrassed, or ashamed.","To make your best friend feel abashed, you might tell her new boyfriend about the time she... but why would you want to embarrass her? Typically abash is used when something has a shaming effect. You might find yourself saying: “I was abashed by the magnitude of the others’ generosity so I donated twenty thousand more,” but you wouldn’t just use abash in place of embarrass. It would sound strange to warn, “Don’t do that, you’re going to abash yourself!”",https://www.vocabulary.com/dictionary/abash
abate,become less in amount or intensity,Something that abates becomes fewer or less intense. Your enthusiasm for skiing might abate after falling off a ski lift and getting a mouthful of snow.,"Abate comes from the Old French verb abattre, ""to beat down,"" and means to reduce or become less intense or numerous. As an intransitive verb, it is often used with something physically, emotionally, or figuratively violent, as in ""the flood of fan mail began to abate."" Using it transitively, if you take measures to abate pollution or noise, you reduce them. Pronounce abate with the stress on the second syllable (uh-BATE).",https://www.vocabulary.com/dictionary/abate
abdicate,"give up, such as power, as of monarchs and emperors","Sometimes someone in power might decide to give up that power and step down from his or her position. When they do that, they abdicate their authority, giving up all duties and perks of the job.","The original meaning of the verb abdicate came from the combination of the Latin ab- ""away"" and dicare ""proclaim."" (Note that in the charming relationships between languages with common roots, the Spanish word for ""he says"" is dice, which comes directly from dicare.) The word came to refer to disowning one's children, and it wasn't until the 17th century that the first use of the word relating to giving up power or public office was recorded.",https://www.vocabulary.com/dictionary/abdicate
aberration,a state or condition markedly different from the norm,"An aberration is something strange that rarely occurs. An example of an aberration is when the temperature hits 90 degrees in January — it's nice and warm, but it's really strange.","The noun aberration often refers to something that doesn't fit with current moral standards, or is something that shows a mental lack of control. Aberration comes from the Latin word that means ""to wander, go astray."" Today, you'd say it was an aberration to send little children to work in coal mines and factories and not to school, which was common in the nineteenth century. There's a very old poem called ""The Chimney Sweep"" about a boy who cleans chimneys and is only about five years old!",https://www.vocabulary.com/dictionary/aberration
abhor,find repugnant,"If you abhor something, it gives you a feeling of complete hatred. Chances are you abhor that kid who used to torture the frogs in biology class.","Abhor is from Latin abhorrere — ""to shrink back in horror."" It is the strongest way in English to express hatred, even stronger than loathe. We only use abhor in formal contexts; you might say ""I abhor that man,"" but you would be less likely to say ""I abhor spinach"" unless you tend to express yourself in highfalutin terms no matter what the occasion.",https://www.vocabulary.com/dictionary/abhor
abject,of the most contemptible kind,"If it reeks of humiliation or looks like the lowest of lows, then you can safely describe it as abject.","The pronunciation of abject is up for debate: you can decide whether to stress the first or the second syllable. But what's more important is understanding how extreme this adjective is. Abject means absolutely miserable, the most unfortunate, with utter humiliation. You might have heard the phrase abject poverty, which is the absolute worst, most hopeless level of poverty you've ever seen.",https://www.vocabulary.com/dictionary/abject
abnegate,deny or renounce,The verb abnegate means to deny or renounce something. Scientists abnegate the existence of little green spacemen from Mars.,"The verb abnegate also means to surrender a position of power. If you serve on too many committees, you may need to cut back. You could abnegate the treasurer position for P.T.A., in order to have more time to serve as president of Band Boosters. What's the difference between abnegate and abdicate? Both mean to renounce power or authority, but abdicate is usually reserved for higher offices of power. The king abdicates the throne. The CEO, who gives up day-to-day responsibility? He abnegates responsibility.",https://www.vocabulary.com/dictionary/abnegate
abortive,failing to accomplish an intended result,"Did you ever start something and not finish it? If so, that was an abortive project. Abortive things don't get finished.","Abortive is a variation of abort, which means to end something, so something abortive never reaches its end point. If you tried like crazy to run a marathon but couldn't finish, your efforts were abortive. If someone tripped you during the marathon, their efforts were abortive too. Abortive things always lead to the words ""The end."" Abortive can also be a way of avoiding the word unsuccessful.",https://www.vocabulary.com/dictionary/abortive
abridge,"lessen, diminish, or curtail","So the editor wants to cut your epic 800-page history of the stapler to a 150-page summary instead. Don't cry — he just wants to abridge your masterpiece, trimming it down to the more readable essential elements.","Synonymous with abbreviate, condense and cut short, abridge comes from the Latin word abreviare, which means ""to shorten."" Although it's usually used in reference to wordy texts, one can also abridge or shorten a piece of clothing; a miniskirt is just an abridged version of the old floor length hoop skirt, for example. But abridging something isn't always good: If your civil rights are abridged, they've been lessened in some way.",https://www.vocabulary.com/dictionary/abridge
absolute,perfect or complete or pure,"Use absolute as a noun or an adjective when you're so sure of something that you know it will never change. For example, a devout person's belief in life after death is an absolute; that person has absolute faith in the afterlife.","Absolute can also mean ""without any doubt,"" as in the case of an absolute beauty — such as a glamorous movie star or a supermodel — or ""without limits,"" such as a dictator who has absolute power over the people. Or, absolute can describe a final demand that must be met, such as the absolute conditions a person buying a home might present to its seller — it's the last step and can make or break the sale.",https://www.vocabulary.com/dictionary/absolute
